iter	Passed	Remaining
409	3809	5482
410	3816	5469
411	3823	5457
412	3831	5445
413	3840	5435
414	3847	5423
415	3856	5413
416	3865	5404
417	3874	5394
418	3885	5387
419	3894	5377
420	3903	5368
421	3913	5360
422	3923	5351
423	3930	5340
424	3938	5328
425	3946	5317
426	3955	5307
427	3963	5297
428	3971	5285
429	3978	5273
430	3985	5261
431	3995	5252
432	4004	5243
433	4013	5233
434	4022	5225
435	4031	5214
436	4039	5204
437	4048	5195
438	4057	5185
439	4067	5176
440	4078	5170
441	4088	5161
442	4097	5152
443	4106	5142
444	4124	5144
445	4135	5137
446	4151	5136
447	4162	5129
448	4174	5123
449	4187	5118
450	4197	5109
451	4206	5099
452	4216	5090
453	4224	5081
454	4233	5071
455	4242	5060
456	4250	5050
457	4259	5041
458	4268	5031
459	4278	5022
460	4287	5013
461	4297	5004
462	4306	4995
463	4318	4989
464	4329	4981
465	4339	4973
466	4350	4965
467	4361	4957
468	4373	4951
469	4392	4952
470	4408	4951
471	4421	4946
472	4435	4942
473	4445	4933
474	4457	4927
475	4466	4916
476	4475	4906
477	4484	4897
478	4493	4887
479	4501	4876
480	4510	4866
481	4517	4855
482	4525	4843
483	4532	4832
484	4540	4821
485	4548	4810
486	4554	4797
487	4562	4786
488	4570	4776
489	4578	4764
490	4588	4756
491	4604	4754
492	4622	4754
493	4634	4747
494	4644	4738
495	4653	4728
496	4670	4726
497	4688	4725
498	4707	4726
499	4723	4723
500	4737	4718
501	4754	4716
502	4767	4710
503	4785	4709
504	4801	4706
505	4819	4704
506	4828	4695
507	4836	4683
508	4844	4673
509	4852	4662
510	4859	4650
511	4867	4638
512	4875	4628
513	4885	4618
514	4893	4608
515	4903	4598
516	4913	4590
517	4921	4579
518	4929	4568
519	4938	4558
520	4946	4548
521	4954	4537
522	4962	4526
523	4970	4515
524	4977	4503
525	4985	4492
526	4992	4481
527	5001	4470
528	5008	4459
529	5016	4448
530	5023	4436
531	5032	4426
532	5040	4415
533	5047	4404
534	5054	4393
535	5062	4382
536	5070	4372
537	5084	4366
538	5095	4357
539	5107	4350
540	5114	4339
541	5123	4329
542	5131	4318
543	5139	4308
544	5148	4298
545	5156	4287
546	5165	4277
547	5172	4266
548	5181	4256
549	5189	4245
550	5199	4236
551	5208	4227
552	5217	4217
553	5226	4207
554	5236	4198
555	5246	4189
556	5256	4180
557	5265	4170
558	5274	4160
559	5283	4151
560	5290	4140
561	5299	4130
562	5308	4120
563	5318	4111
564	5327	4101
565	5337	4092
566	5346	4083
567	5355	4073
568	5365	4064
569	5375	4054
570	5385	4046
571	5394	4036
572	5403	4026
573	5413	4017
574	5422	4008
575	5431	3997
576	5439	3987
577	5448	3977
578	5456	3967
579	5464	3956
580	5472	3946
581	5479	3935
582	5486	3923
583	5493	3913
584	5504	3904
585	5513	3895
586	5520	3884
587	5528	3873
588	5535	3862
589	5542	3851
590	5550	3840
591	5557	3830
592	5564	3819
593	5571	3808
594	5578	3797
595	5587	3787
596	5596	3777
597	5605	3767
598	5612	3757
599	5619	3746
600	5626	3735
601	5633	3724
602	5641	3714
603	5648	3703
604	5656	3692
605	5666	3684
606	5678	3676
607	5688	3667
608	5697	3657
609	5704	3647
610	5712	3636
611	5719	3625
612	5727	3615
613	5734	3605
614	5741	3594
615	5748	3583
616	5754	3572
617	5761	3561
618	5769	3551
619	5776	3540
620	5784	3530
621	5791	3519
622	5799	3509
623	5806	3499
624	5814	3488
625	5823	3479
626	5830	3468
627	5837	3458
628	5845	3447
629	5853	3437
630	5861	3427
631	5868	3417
632	5875	3406
633	5885	3397
634	5894	3388
635	5906	3380
636	5914	3370
637	5921	3359
638	5929	3349
639	5936	3339
640	5945	3329
641	5952	3319
642	5964	3311
643	5973	3302
644	5982	3292
645	5992	3283
646	5999	3273
647	6007	3263
648	6014	3252
649	6021	3242
650	6028	3231
651	6036	3221
652	6043	3211
653	6051	3201
654	6059	3191
655	6068	3182
656	6077	3173
657	6091	3165
658	6099	3156
659	6108	3146
660	6116	3136
661	6124	3127
662	6131	3116
663	6139	3106
664	6146	3096
665	6154	3086
666	6161	3076
667	6169	3066
668	6176	3056
669	6183	3045
670	6192	3036
671	6199	3025
672	6206	3015
673	6214	3005
674	6220	2995
675	6228	2985
676	6235	2974
677	6243	2964
678	6249	2954
679	6257	2944
680	6264	2934
681	6272	2924
682	6279	2914
683	6285	2903
684	6295	2895
685	6303	2885
686	6310	2875
687	6317	2865
688	6325	2855
689	6332	2845
690	6339	2834
691	6347	2825
692	6356	2815
693	6366	2807
694	6374	2797
695	6383	2788
696	6392	2779
697	6401	2769
698	6410	2760
699	6418	2750
700	6427	2741
701	6436	2732
702	6445	2723
703	6455	2714
704	6469	2707
705	6481	2699
706	6490	2689
707	6499	2680
708	6508	2671
709	6516	2661
710	6525	2652
711	6534	2643
712	6542	2633
713	6550	2623
714	6558	2614
715	6567	2604
716	6631	2617
717	6651	2612
718	6659	2602
719	6667	2592
720	6676	2583
721	6686	2574
722	6698	2566
723	6711	2558
724	6719	2548
725	6728	2539
726	6736	2529
727	6745	2520
728	6753	2510
729	6762	2501
