iter	RMSE
306	81914.88852
307	81894.69429
308	81880.30206
309	81863.22944
310	81839.3076
311	81822.53432
312	81793.37375
313	81784.64955
314	81772.60789
315	81760.75504
316	81743.62965
317	81716.89932
318	81703.61904
319	81690.6746
320	81669.6061
321	81652.01617
322	81630.17348
323	81610.03464
324	81578.73716
325	81551.75603
326	81539.67022
327	81512.19214
328	81498.2652
329	81479.58388
330	81454.48902
331	81430.21131
332	81417.76409
333	81402.04432
334	81382.57337
335	81361.82212
336	81346.61654
337	81318.02683
338	81302.57777
339	81287.68281
340	81265.70735
341	81247.70724
342	81224.53553
343	81209.74017
344	81193.2954
345	81178.90337
346	81168.58795
347	81143.64804
348	81126.25201
349	81111.39544
350	81085.10094
351	81072.91462
352	81054.30309
353	81041.12022
354	81031.39077
355	81018.35416
356	80998.50213
357	80971.90743
358	80956.91107
359	80933.38368
360	80922.61283
361	80901.84982
362	80884.6353
363	80860.85325
364	80842.41968
365	80823.99651
366	80810.48906
367	80790.69429
368	80773.25523
369	80747.03776
370	80723.60238
371	80701.73945
372	80685.9707
373	80660.69978
374	80636.40963
375	80624.48859
376	80615.3134
377	80596.0524
378	80584.9791
379	80561.74927
380	80531.1816
381	80518.50015
382	80501.25604
383	80490.03749
384	80470.04918
385	80456.27817
386	80434.67371
387	80411.15287
388	80402.09633
389	80389.91382
390	80379.65448
391	80362.70782
392	80346.71464
393	80326.36706
394	80308.03355
395	80290.06178
396	80272.47187
397	80262.74495
398	80246.23364
399	80221.67207
400	80204.98703
401	80180.03833
402	80168.57458
403	80150.4782
404	80129.13999
405	80115.12134
406	80103.53648
407	80085.35716
408	80064.71785
409	80042.29932
410	80032.30842
411	80019.17991
412	79997.12907
413	79986.77147
414	79967.77124
415	79948.20551
416	79933.37584
417	79923.5162
418	79908.57348
419	79892.70256
420	79876.87598
421	79868.44906
422	79852.69647
423	79844.63072
424	79835.6657
425	79816.61815
426	79804.3406
427	79782.70019
428	79771.14117
429	79749.55666
430	79739.02427
431	79727.16369
432	79708.63326
433	79698.82674
434	79680.40182
435	79669.24285
436	79649.1134
437	79631.21528
438	79621.7431
439	79605.59143
440	79594.91169
441	79576.52967
442	79564.3979
443	79549.6647
444	79542.84522
445	79535.73164
446	79514.95957
447	79506.8472
448	79497.41773
449	79487.80202
450	79477.43338
451	79461.88299
452	79440.61819
453	79426.80148
454	79414.88443
455	79403.09778
456	79394.53896
457	79376.89347
458	79363.49803
459	79348.00137
460	79333.02275
461	79316.93935
462	79300.78166
463	79288.77877
464	79269.00617
465	79246.09912
466	79237.32108
467	79217.15869
468	79201.41853
469	79193.34287
470	79183.63287
471	79169.49965
472	79155.08695
473	79135.00325
474	79117.7479
475	79111.59866
476	79095.75213
477	79086.20634
478	79075.38053
479	79055.9042
480	79044.67556
481	79027.76908
482	79015.28121
483	79004.60929
484	78991.0854
485	78967.10327
486	78959.26143
487	78942.81721
488	78924.59497
489	78910.09891
490	78896.05046
491	78884.87947
492	78867.84199
493	78855.20308
494	78837.14227
495	78824.58708
496	78812.4794
497	78804.56226
498	78793.45743
499	78785.58387
500	78774.5452
501	78761.70427
502	78751.25003
503	78739.99222
504	78728.63138
505	78718.00525
506	78702.91432
507	78693.24192
508	78684.24205
509	78670.53057
510	78654.10161
511	78647.66636
512	78641.43137
513	78623.99516
514	78618.17739
515	78606.51824
516	78599.37271
517	78585.29691
518	78563.68231
519	78549.87285
520	78538.70591
521	78526.69848
522	78510.68808
523	78505.24605
524	78495.61261
525	78487.33213
526	78467.4264
527	78452.57404
528	78437.27497
529	78430.12913
530	78421.69992
531	78402.39998
532	78386.99355
533	78374.74601
534	78363.42726
535	78345.24396
536	78330.88802
537	78318.48326
538	78309.90377
539	78297.32799
540	78289.09484
541	78275.74355
542	78261.02236
543	78245.55491
544	78235.18158
545	78222.68505
546	78212.38135
547	78202.20496
548	78191.15085
549	78184.31361
550	78168.19722
551	78158.67635
552	78149.31841
553	78142.15185
554	78130.04771
555	78118.93346
556	78105.25087
557	78094.97209
558	78083.26353
559	78067.8456
560	78053.62974
561	78046.93247
562	78035.69487
563	78022.2956
564	78015.11659
565	77999.84777
566	77982.9351
567	77973.43126
568	77961.52407
569	77948.40389
570	77933.5824
571	77928.59901
572	77920.84224
573	77910.05353
574	77899.0885
575	77884.37118
576	77875.17844
577	77864.9906
578	77847.93502
579	77830.72458
580	77807.50455
581	77794.75038
582	77782.81242
583	77768.67291
584	77761.02726
585	77742.8934
586	77735.95053
587	77725.37003
588	77718.72772
589	77705.22077
590	77697.44896
591	77684.21478
592	77676.48928
593	77666.3953
594	77653.619
595	77642.98464
596	77635.9062
597	77626.22944
598	77610.57287
599	77597.24439
600	77590.76686
601	77585.1345
602	77577.53675
603	77568.64508
604	77557.13977
605	77552.81015
606	77547.24038
607	77536.01171
608	77525.13607
609	77510.07698
610	77499.92915
611	77483.58588
612	77473.83145
613	77461.94612
614	77457.54987
615	77446.84202
616	77437.64594
617	77424.97774
618	77413.33892
619	77402.37223
620	77396.66772
621	77380.82058
622	77367.51494
623	77358.57944
624	77348.51237
625	77333.98418
626	77327.22671
627	77320.65569
628	77308.50121
629	77299.12616
630	77285.70033
631	77272.62903
632	77263.89968
633	77251.83001
634	77238.43484
635	77226.93697
636	77219.59353
637	77212.84188
638	77202.47977
639	77195.85018
640	77184.02139
641	77173.46809
642	77165.91068
643	77155.07
644	77145.48865
645	77134.87518
646	77127.03955
647	77115.04758
648	77105.62016
649	77093.91386
650	77083.96353
651	77072.5269
652	77066.01796
653	77055.22679
654	77045.23292
655	77037.3969
656	77032.62004
657	77023.87622
658	77009.47903
659	76997.84878
660	76987.50866
661	76975.04357
662	76965.52393
663	76956.67767
664	76943.84873
665	76928.08264
666	76915.8256
667	76903.23611
668	76894.49621
669	76885.48004
670	76868.76784
671	76864.04827
672	76853.32669
673	76844.43183
674	76835.30897
675	76824.87201
676	76816.89045
677	76797.49666
678	76791.51862
679	76783.34654
680	76777.0121
681	76763.67564
682	76756.22785
683	76747.03246
684	76738.45632
685	76725.21401
686	76714.57344
687	76703.53708
688	76691.67882
689	76680.02979
690	76671.17763
691	76664.62029
692	76653.98478
693	76645.68719
694	76636.72477
695	76626.6706
696	76615.88046
697	76602.52497
698	76592.03047
699	76580.94958
700	76570.05237
701	76560.8105
702	76548.74603
703	76538.13433
704	76528.22305
705	76519.04196
706	76511.42614
707	76501.51303
708	76491.56747
709	76480.40423
710	76468.54505
711	76458.80781
712	76449.40069
713	76441.78303
714	76433.51038
715	76427.58496
716	76416.80626
717	76403.19821
718	76398.15974
719	76389.91453
720	76378.57887
721	76367.04669
722	76362.33962
723	76352.67056
724	76342.97218
725	76332.86839
726	76319.59688
727	76311.00835
728	76301.5871
729	76289.28735
730	76276.14316
731	76270.66503
732	76262.39893
733	76251.18315
734	76244.63837
735	76234.24868
736	76222.51418
737	76214.41387
738	76207.74876
739	76200.61361
740	76193.54703
741	76189.34338
742	76180.86931
743	76175.97872
744	76162.9865
745	76158.75588
746	76152.37865
747	76142.00817
748	76135.59605
749	76127.45539
750	76118.98649
751	76106.62884
752	76098.23422
753	76088.49746
754	76079.00337
755	76070.88774
756	76060.59463
757	76052.24829
758	76039.9583
759	76035.17958
760	76026.62084
761	76021.62746
762	76012.5546
763	76002.65206
764	75997.56195
765	75984.57403
766	75972.70941
767	75967.31167
768	75963.76341
769	75952.056
770	75937.68332
771	75927.75886
772	75918.21714
773	75907.22504
774	75900.33755
775	75886.12331
776	75882.52971
777	75877.71825
778	75870.25274
779	75861.07625
780	75854.43467
781	75843.50342
782	75832.60566
783	75823.07804
784	75817.50627
785	75808.13754
786	75800.1122
787	75790.36276
788	75777.6505
789	75767.08283
790	75758.63083
791	75751.69739
792	75743.52424
793	75737.90977
794	75725.37199
795	75721.06315
796	75709.24337
797	75697.72775
798	75685.93876
799	75677.16716
800	75666.5255
801	75650.09685
802	75639.83201
803	75632.92133
804	75625.37387
805	75619.65404
806	75609.47481
807	75601.773
808	75592.97941
809	75583.42973
810	75573.64919
811	75563.20729
812	75558.1483
813	75550.17431
814	75541.03456
815	75532.00508
816	75521.39577
817	75513.84506
818	75500.00665
819	75488.66528
820	75484.03958
821	75477.16643
822	75467.48472
823	75459.67447
824	75450.19092
825	75442.31028
826	75432.88554
827	75422.72353
828	75414.39277
829	75409.44384
830	75400.48753
831	75394.07601
832	75386.68424
833	75379.77297
834	75368.59573
835	75362.59058
836	75358.09656
837	75347.32209
838	75335.87594
839	75325.80291
840	75315.42211
841	75306.44285
842	75297.07165
843	75287.09058
844	75279.13427
845	75268.08725
846	75261.87615
847	75254.26868
848	75245.39816
849	75237.6306
850	75230.32102
851	75224.60602
852	75216.79251
853	75206.89328
854	75203.09411
855	75192.01081
856	75183.13033
857	75170.68135
858	75157.5784
859	75149.01727
860	75141.8032
861	75134.25775
862	75129.34581
863	75120.46937
864	75112.90879
865	75104.5368
866	75098.45216
867	75087.28782
868	75080.18167
869	75064.42918
870	75057.07266
871	75041.2967
872	75030.66827
873	75024.18594
874	75013.02534
875	75004.38517
876	74998.62839
877	74988.95525
878	74983.50232
879	74976.12448
880	74969.91546
881	74962.76965
882	74954.88228
883	74948.34573
884	74939.84872
885	74931.59797
886	74926.74133
887	74919.7198
888	74909.47039
889	74899.88787
890	74894.70676
891	74886.83436
892	74876.38149
893	74870.39692
894	74865.92611
895	74860.18274
896	74848.72867
897	74844.06791
898	74839.42649
899	74834.52809
900	74823.77845
901	74818.69681
902	74810.72743
903	74802.5015
904	74798.26441
905	74793.64511
906	74785.10665
907	74778.51037
908	74761.99812
909	74752.04559
910	74745.85641
911	74736.96424
912	74726.12456
913	74720.51532
914	74712.16797
915	74702.27511
916	74691.3562
917	74685.36239
918	74678.75722
919	74671.73014
920	74665.16303
921	74661.57684
922	74653.7799
923	74646.30604
924	74635.63371
925	74627.87578
926	74617.10703
927	74608.68447
928	74601.60185
929	74592.92106
930	74586.05582
931	74579.93716
932	74575.02378
933	74563.60776
934	74556.53807
935	74550.47493
936	74543.58319
937	74531.09944
938	74521.00895
939	74506.39818
940	74500.41714
941	74489.01489
942	74480.01908
943	74475.99293
944	74472.06802
945	74459.61547
946	74454.37329
947	74446.06511
948	74441.2092
949	74432.21926
950	74424.24844
951	74421.10359
952	74413.3613
953	74402.42463
954	74396.81641
955	74390.13235
956	74380.15919
957	74375.1499
958	74365.47247
959	74356.96196
960	74350.76366
961	74344.23642
962	74334.12159
963	74326.60686
964	74318.70748
965	74310.91869
966	74304.80418
967	74297.44763
968	74289.36647
969	74280.58902
970	74274.95121
971	74268.52646
972	74261.99099
973	74250.59214
974	74246.19301
975	74240.59226
976	74229.11892
977	74222.19114
978	74208.65305
979	74203.28738
980	74194.71589
981	74187.11575
982	74177.91132
983	74172.11066
984	74163.39934
985	74159.63468
986	74148.83662
987	74137.20783
988	74133.07993
989	74129.00514
990	74121.74968
991	74117.89375
992	74113.81595
993	74105.10874
994	74099.23337
995	74085.81872
996	74071.84134
997	74062.0417
998	74055.99296
999	74048.29804
